ID,Title,"Report Year",Status,"Year Adopted","Date of Last Event",Level,State,County,County,Municipality,Type,Content,Citations
3055,"Accomack County",2025,"In effect",2017,2017,Local,VA,"Accomack County",51001,,Solar|Wind,"In January 2017, Accomack County amended its zoning ordinance to prohibit large wind projects in agricultural districts and to require large solar projects in agricultural districts to receive special use permits from the board of zoning appeals.","Accomack County, Va., Ordinance of 01-19-2017, https://library.municode.com/va/accomack_county/ordinances/code_of_ordinances?nodeId=812617; Clara Vaughn, Future solar farms could be slowed by Accomack regulations, Delmarva Now, Jan. 19, 2017, https://www.delmarvanow.com/story/news/local/virginia/2017/01/19/future-solar-farms-could-slowed-accomack-regulations/96775930/."
3056,"Adair County",2025,"In effect",2019,2019,Local,IA,"Adair County",19001,,Wind,"In November 2019, the County’s Board of Supervisors capped the number of commercial wind turbines allowed in the county at 535 turbines. At the time, there were already 532 turbines either built or under construction.","Karen Uhlenhuth, In Iowa, Conservative Group Looks to Counter Local Wind & Solar Opposition, Energy News, June 17, 2020, https://energynews.us/2020/06/17/in-iowa-conservative-group-looks-to-counter-local-wind-solar-opposition/."
3057,"Adams County",2025,"In effect",2024,2024,Local,IA,"Adams County",19003,,Wind,"In September 2024, Adams County adopted wind regulations that cap total wind turbines in the county to 225 turbines and require turbines to be set back at least 1.5 times turbine height from property lines.","Ethan Hewett, Adams County board backs updated wind ordinance, KMA Land, Sept. 19, 2024, https://www.kmaland.com/news/adams-county-board-backs-updated-wind-ordinance/article_0ad479bc-767e-11ef-908e-c7fe6316baae.html."
3058,"Adams County",2025,"In effect",2018,2019,Local,NE,"Adams County",31001,,Solar|Wind,"A 2018 resolution requires that wind turbines be set back 2,400 feet from neighboring dwelling units and 6,000 feet from any existing wind turbine not owned by the applicant. A 2019 resolution prohibits concentrated solar power facilities but allows photovoltaics with proper permits.","Adams County, Neb., Resolution No. 2018-10-02.01 § 8.04.06(4) (Oct. 2, 2018), https://www.adamscounty.org/images/PDFS/PlanningZoning/windsystem.pdf; Adams County, Neb., Resolution No. 2019-03-05.01 § 8.13, https://www.adamscounty.org/images/PDFS/PlanningZoning/SolarRegulation2.pdf."
3059,"Adams County",2025,"In effect",2024,2024,Local,OH,"Adams County",39001,,Solar,"In March 2024, the Adams County Commission passed a resolution creating a restricted area for large solar farms pursuant to S.B. 52. The commissioners cited concerns about competing interests with farmland.","Commissioners pass resolution restricting large solar farms, PEOPLE’S DEFENDER, Mar. 1, 2024, https://www.peoplesdefender.com/2024/03/01/commissioners-pass-resolution-restricting-large-solar-farms/."
3060,"Adams Township (Houghton County)",2025,Expired,2021,2021,Local,MI,"Houghton County",26061,"Adams Township",Solar|Wind,"In August 2021, the Adams Township Board unanimously voted to impose a 6-month moratorium on commercial wind and solar projects. The vote came at a time when Adams was being considered as the site for a wind farm. The president of a group opposed to that wind project— Guardians of the Keweenaw Ridge—stated that he was “ecstatic” about Adams Township imposing the moratorium.","Garrett Neese, Hitting pause: Adams Township adopts a six-month wind, solar moratorium, The Daily Mining Gazette, Aug. 20, 2021, https://www.mininggazette.com/news/2021/08/hitting-pause-adams-township-adopts-six-month-wind-solar-moratorium/."
3061,"Allegany County",2025,"In effect",2019,2019,Local,MD,"Allegany County",24001,,Wind,"The county ordinance requires that wind turbines be set back 2,000 feet from residences and 5,000 feet from schools.","Allegany County, M.D, Code § 360-107 (2019), https://ecode360.com/14700310."
3062,"Allen County",2025,"In effect",2019,2019,Local,IN,"Allen County",18003,,Wind,"According to the Allen County zoning ordinance, last updated in September 2019, wind energy conversion systems with any of the following three characteristics are prohibited: (a) a nameplate capacity of more than 50 kW; (b) a total height of more than 60 feet; and (c) a total swept area of more than 40 feet.","Allen County, Ind., Zoning Ordinance, art. 5, ch. 6 (rev. Sept. 6, 2019), https://www.allencounty.us/images/stories/allen_county_code/T3-A5_Administration.pdf; Kevin Kilbane, More Wind Farms Likely in Indiana’s Future, but Probably Not Near Fort Wayne and Allen County, News Sentinel, Apr. 20, 2018, https://www.news-sentinel.com/news/local-news/2018/04/20/ns-series-windfarm-part-3/."
3063,"Allen County",2025,"In effect",2022,2022,Local,OH,"Allen County",39003,,Solar|Wind,"On April 4, 2022, the Allen County Commission unanimously passed a resolution pursuant to S.B. 52 “declaring portions of the unincorporated areas of Allen County, Ohio to be restricted areas prohibiting construction of economically significant wind farms, large wind farms and large solar facilities.”","Allen County, Ohio, Board of Commissioners Meeting Minutes at 3 (Apr. 4, 2022), https://commissioners.allencountyohio.com/wp-content/uploads/2022/04/M040422-Special.pdf; Jake Zuckerman, Ten Ohio counties ban wind, solar projects under new state law, Ohio Capital Journal, Aug. 23, 2022, https://ohiocapitaljournal.com/2022/08/23/nine-ohio-counties-ban-wind-solar-projects-under-new-state-law/"
3064,"Almer Township (Tuscola County)",2025,"In effect",2020,2020,Local,MI,"Tuscola County",26157,"Almer Township",Wind,"In 2020, Almer Township adopted a wind ordinance requiring that commercial wind turbines be set back from property lines by a distance of 4 times the height of the highest blade tip. It further limits noise to 39 dBA at night and limits shadow flicker on neighboring properties to zero. The ordinance explicitly references agricultural preservation as well as health and safety concerns as the basis for the restrictions.","Almer Charter Township, Mich., Ordinance 2020-03, as codified at Zoning Ordinance § 1522(A)(1), (F)(1), (F)(12), (F)(24) (Feb. 2022), https://drive.google.com/file/d/1pvjWBx5fQqVOnTaYL8I0lvDgARd_At-o/view."
3065,"Amherst County",2025,"In effect",2024,2024,Local,VA,"Amherst County",51009,,Solar,"In March 2024, the Amherst County Board of Supervisors unanimously passed a revised zoning ordinance that establishes a cap of 50 acres under panel for utility-scale solar facilities. It also prohibits the siting of new solar projects within 1 mile of existing solar projects.","Amherst County, Virginia, Ordinance No. 2024-1 (March 19, 2024), https://www.countyofamherst.com/egov/documents/1712238866_86414.pdf; Justin Faulconer, Amherst County revises zoning rules on utility solar farms, 50-acre cap now in place, AMHERST NEW ERA-PROGRESS, March 23, 2024, https://newsadvance.com/news/community/new-era-progress/amherst-county-revises-zoning-rules-on-utility-solar-farms-50-acre-cap-now-in-place/article_649ff096-e7bf-11ee-b1e9-9f3cb1fb6724.html."
3066,"Arcadia Township (Lapeer County)",2025,"In effect",2019,2019,Local,MI,"Lapeer County",26087,"Arcadia Township",Wind,"Arcadia Township’s 2019 zoning ordinance for wind energy limits noise to 40 dBa and establishes setbacks from property lines, occupied buildings, and rights-of-way of 1,640 feet for turbines less than 500 feet and 3.28 times turbine max blade tip height for turbines greater than 500 feet.","Arcadia Township, Michigan, Article XI (General Provisions), https://www.arcadiatownship.org/images/Arcadia-Zoning-Ordinance/Arcadia%20Zoning%20Ordinance%20100%2035-61-ARTICLE%20XI.pdf."
3067,"Ashe County",2025,"In effect",,2023,Local,NC,"Ashe County",37009,,Wind,"Ashe County limits the height of large wind turbines to 199 feet.","Ashe County, N.C., Code of Ordinances § 163.21, https://codelibrary.amlegal.com/codes/ashecounty/latest/ashecounty_nc/0-0-0-3857."
3068,"Atlantic County",2025,"In effect",2023,2023,Local,NJ,"Atlantic County",34001,,Wind,"On February 21, 2023, the Atlantic County Board of County Commissioners approved a resolution calling on state and federal officials to impose a moratorium on offshore wind development until the cause of recent whale deaths could be determined.  The resolution is nonbinding.","Nanette LoBiondo Galloway, Atlantic County Commissioners approve offshore wind moratorium resolution, Down Beach, Feb. 22, 2023, https://www.downbeach.com/2023/02/22/atlantic-county-commissioners-approve-offshore-wind-moratorium-resolution/."
3069,"Auglaize County",2025,"In effect",2022,2022,Local,OH,"Auglaize County",39011,,Solar|Wind,"On April 26, 2022, the Auglaize County Commission unanimously passed a resolution pursuant to S.B. 52 designating all unincorporated territories of the county as a restricted area for wind farms of at least 5 MW (i.e., “economically significantly wind farms”) and solar projects of at least 50 MW.","Auglaize County, Ohio, Resolution No. 22-208 (Apr. 26, 2022), https://www.documentcloud.org/documents/22160213-auglaize-co-resolution-22-208-with-map-re-wind-exclusion-zones; see also Jake Zuckerman, Ten Ohio counties ban wind, solar projects under new state law, Ohio Capital Journal, Aug. 23, 2022, https://ohiocapitaljournal.com/2022/08/23/nine-ohio-counties-ban-wind-solar-projects-under-new-state-law/."
3070,"Augusta County",2025,"In effect",2023,2023,Local,VA,"Augusta County",51015,,Solar,"In July 2021, the Augusta County Board of Supervisors updated the Utilities section of the County’s Comprehensive Plan to establish policies that would limit the size of industrial solar facilities. The update provided that solar farms are strongly discouraged from using more than 200 acres of land and that they should not be built in Urban Service and Community Development areas. In December 2023, Augusta County prohibited new solar projects in urban service and community development areas; at the same time, Augusta mandated that new solar projects must be located at least 2 miles from existing solar projects.","Augusta County, Va., Comprehensive Plan Solar Update, July 28, 2021, https://www.co.augusta.va.us/home/showpublisheddocument/16740/637631647962170000; Tara Todd, Augusta County Supervisors pass solar restrictions despite pleas from farmland owners, WVIR, July 28, 2021, https://www.nbc29.com/2021/07/29/augusta-county-supervisors-pass-solar-restrictions-despite-pleas-farmland-owners/; Bob Stuart, Augusta County tightens ordinance on solar projects, News Virginian, Dec. 18, 2023, https://newsvirginian.com/news/local/government-politics/augusta-county-tightens-ordinance-on-solar-projects/article_37e0ef36-9d7f-11ee-b99e-4797bc93aeba.html."
3071,"Augusta Township (Washtenaw County)",2025,Expired,2022,2022,Local,MI,"Washtenaw County",26161,"Augusta Township",Solar,"In March 2022, August Township adopted a 6-month moratorium on large solar energy systems, subject to renewal.","Charter Township of Augusta, Mich., Resolution No. 22-08 (Mar. 22, 2022), https://augustatownship.org/wp-content/uploads/2022/03/22-08-Resolution-for-Moratorium-Large-Scale-Solar-Projects-Final-Signed.pdf."
3072,"Baldwin County",2025,"In effect",2022,2022,Local,AL,"Baldwin County",01003,,Wind,"Wind energy systems with a capacity of 50 kW or greater are categorically prohibited. Any wind energy system located near a scenic byway or corridor must not cause an adverse visual impact.","Baldwin County, Ala., Zoning Ordinance §§ 13.13.4, 13.13.6(j) (as amended Oct. 18, 2022), https://baldwincountyal.gov/departments/planning-zoning/ordinances-and-regulations."
3073,"Baldwin County",2025,"In effect",2020,2020,Local,GA,"Baldwin County",13009,,Solar,"An ordinance adopted on June 16, 2020 requires that solar farms be set back at least 300 feet from dwelling units and at least 300 feet from property lines under most circumstances, unless owners of adjacent parcels agree to a smaller setback.","Baldwin County, Ga., Code of Ordinances § 17-23(a) (adopted June 16, 2020), https://library.municode.com/ga/baldwin_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH17SOENDE."
